Jahr,Bezirk_Code,Population
2016,901,16411
2016,902,103225
2016,903,89806
2016,904,32751
2016,905,54938
2016,906,31620
2016,907,32020
2016,908,25054
2016,909,43095
2016,910,194746
2016,911,97342
2016,912,94170
2016,913,53813
2016,914,91596
2016,915,78349
2016,916,102605
2016,917,56329
2016,918,50283
2016,919,71609
2016,920,85815
2016,921,155986
2016,922,180272
2016,923,98391
2017,901,16465
2017,902,105003
2017,903,90183
2017,904,33035
2017,905,55356
2017,906,31865
2017,907,32197
2017,908,25528
2017,909,42709
2017,910,198083
2017,911,100137
2017,912,95955
2017,913,54171
2017,914,92337
2017,915,78999
2017,916,104323
2017,917,57180
2017,918,51128
2017,919,72107
2017,920,86868
2017,921,158712
2017,922,184188
2017,923,101053
2018,901,16450
2018,902,105574
2018,903,90712
2018,904,33319
2018,905,55640
2018,906,32069
2018,907,32467
2018,908,25662
2018,909,42547
2018,910,201882
2018,911,101420
2018,912,97624
2018,913,54265
2018,914,92752
2018,915,79029
2018,916,104627
2018,917,57546
2018,918,51647
2018,919,72650
2018,920,87239
2018,921,162779
2018,922,187007
2018,923,103869
2019,901,16306
2019,902,104946
2019,903,91745
2019,904,33263
2019,905,55407
2019,906,31864
2019,907,32288
2019,908,25466
2019,909,41958
2019,910,204142
2019,911,103008
2019,912,97634
2019,913,53778
2019,914,92990
2019,915,77621
2019,916,103785
2019,917,57292
2019,918,51587
2019,919,72947
2019,920,86502
2019,921,165673
2019,922,191008
2019,923,106281
2020,901,16047
2020,902,105848
2020,903,91680
2020,904,33212
2020,905,55123
2020,906,31651
2020,907,31961
2020,908,25021
2020,909,41884
2020,910,207193
2020,911,104434
2020,912,97078
2020,913,54040
2020,914,93634
2020,915,76813
2020,916,103117
2020,917,57027
2020,918,51497
2020,919,73901
2020,920,86368
2020,921,167968
2020,922,195230
2020,923,110464
2021,901,15867
2021,902,105237
2021,903,93248
2021,904,33075
2021,905,54373
2021,906,31336
2021,907,31683
2021,908,24365
2021,909,41812
2021,910,210573
2021,911,105022
2021,912,96998
2021,913,53903
2021,914,93366
2021,915,76137
2021,916,102480
2021,917,56488
2021,918,51327
2021,919,73861
2021,920,85264
2021,921,173916
2021,922,198806
2021,923,111812
2022,901,15700
2022,902,104688
2022,903,93744
2022,904,33007
2022,905,53731
2022,906,30958
2022,907,31326
2022,908,24189
2022,909,41382
2022,910,212255
2022,911,106078
2022,912,97909
2022,913,53959
2022,914,92989
2022,915,75635
2022,916,101638
2022,917,56014
2022,918,50865
2022,919,73873
2022,920,84471
2022,921,178185
2022,922,203823
2022,923,115174
2023,901,16620
2023,902,108269
2023,903,96756
2023,904,33633
2023,905,55018
2023,906,31423
2023,907,31581
2023,908,24674
2023,909,42206
2023,910,218415
2023,911,109038
2023,912,100281
2023,913,55568
2023,914,96828
2023,915,76109
2023,916,102444
2023,917,56033
2023,918,51559
2023,919,75517
2023,920,85690
2023,921,183895
2023,922,212658
2023,923,117882
2024,901,16538
2024,902,110100
2024,903,98398
2024,904,33155
2024,905,54400
2024,906,31386
2024,907,31513
2024,908,24499
2024,909,41631
2024,910,220324
2024,911,110559
2024,912,101714
2024,913,55505
2024,914,98161
2024,915,76381
2024,916,102770
2024,917,56671
2024,918,51395
2024,919,75400
2024,920,86930
2024,921,186233
2024,922,220794
2024,923,121303
